inst/#,actual,predicted,probability
206,0.0,0.000,0.9923550647695901
207,0.0,0.000,0.9244164953440561
208,0.0,0.000,0.9244164953440561
209,0.0,0.000,0.9244164953440561
210,0.0,0.000,0.9244164953440561
211,1.0,0.000,0.5948018747337026
212,1.0,0.000,0.5948018747337026
213,0.0,0.000,0.7284587378640777
214,0.0,0.000,0.9244164953440561
215,0.0,0.000,0.9923550647695901
216,0.0,0.000,0.7284587378640777
217,0.0,0.000,0.9244164953440561
218,0.0,0.000,0.9244164953440561
219,0.0,0.000,0.9244164953440561
220,0.0,0.000,0.9244164953440561
221,0.0,0.000,0.9244164953440561
222,1.0,0.000,0.7284587378640777
223,0.0,0.000,0.7284587378640777
224,0.0,0.000,0.7284587378640777
225,0.0,0.000,0.5948018747337026
226,1.0,0.000,0.8
227,0.0,0.000,0.6666666666666666
228,0.0,0.000,0.9244164953440561
229,0.0,0.000,0.9923550647695901
230,0.0,0.000,0.9244164953440561
231,0.0,0.000,0.7284587378640777
232,0.0,0.000,0.9923550647695901
233,0.0,0.000,0.9923550647695901
234,0.0,0.000,0.7284587378640777
235,0.0,0.000,0.9923550647695901
236,0.0,0.000,0.5948018747337026
237,0.0,0.000,0.8901808785529716
238,0.0,0.000,0.9244164953440561
239,0.0,0.000,0.7284587378640777
240,1.0,1.000,0.75
241,0.0,0.000,0.9923550647695901
242,1.0,0.000,0.8901808785529716
243,0.0,0.000,0.9244164953440561
244,0.0,0.000,0.9244164953440561
245,0.0,0.000,0.9923550647695901
246,0.0,0.000,0.9244164953440561
247,0.0,0.000,0.9244164953440561
248,1.0,0.000,0.8901808785529716
249,0.0,0.000,0.9244164953440561
250,0.0,1.000,1.0
251,0.0,0.000,0.9244164953440561
252,0.0,0.000,0.9923550647695901
253,0.0,0.000,0.5948018747337026
254,1.0,1.000,1.0
255,0.0,0.000,0.9244164953440561
256,0.0,0.000,0.8901808785529716
257,1.0,0.000,0.5948018747337026
258,0.0,0.000,0.9244164953440561
259,0.0,0.000,0.9923550647695901
260,0.0,0.000,0.9244164953440561
261,0.0,0.000,0.9244164953440561
262,0.0,0.000,1.0
263,0.0,0.000,0.7284587378640777
264,0.0,0.000,0.9244164953440561
265,0.0,0.000,0.9923550647695901
266,0.0,0.000,0.9244164953440561
267,0.0,0.000,0.9244164953440561
268,1.0,0.000,0.5948018747337026
269,0.0,0.000,0.9244164953440561
270,1.0,0.000,1.0
271,0.0,0.000,0.9923550647695901
272,0.0,0.000,0.9244164953440561
273,0.0,0.000,0.9923550647695901
274,0.0,0.000,0.9244164953440561
275,0.0,0.000,0.9244164953440561
276,0.0,0.000,0.9244164953440561
277,1.0,1.000,0.5714285714285714
278,0.0,0.000,0.9244164953440561
279,0.0,0.000,0.9244164953440561
280,0.0,0.000,0.9923550647695901
281,0.0,0.000,0.9244164953440561
282,1.0,0.000,0.9244164953440561
283,0.0,0.000,0.9244164953440561
284,0.0,0.000,0.9244164953440561
285,0.0,0.000,0.9244164953440561
286,0.0,0.000,0.9923550647695901
287,1.0,0.000,0.9244164953440561
288,0.0,0.000,0.9244164953440561
289,0.0,1.000,1.0
